Components,Parent-component,Intermediate-component,quantity,wastage,unit,,unit cost,total cost,
[Bottle Box 50cl Bottle x6 - Outer Box] The outer box needed for 50cl Bottles. 6 bottles per box.,,,1,0,PCS,,0.3121,0.31,Delete
[Bottle Box 50cl Bottle x6 - Unassembled dividers] The dividers for the 50cl box. 6 bottles per box.,,,1,0,PCS,,0.1779,0.18,Delete
[Sentia2001] 50cl bottle of Sentia Black,,,6,0,PCS,,4.6847,28.11,Delete
[Sentia-Black Brew 3] Brew 3 that goes into making Sentia Black,,,2.3952,0.141,L,,2.5105,6.36,
[Water - for mash - 85c] The water that is added into the mashtun with the plants for overnight steeping,[Sentia-Black Brew 3] Brew 3 that goes into making Sentia Black,,2.5362,0,L,,0,0,
[Angelica Root] Dried Organic Root / Angelica archangelica L. / Cut,[Sentia-Black Brew 3] Brew 3 that goes into making Sentia Black,,1.5877,0,G,,0.0309,0.0507,
[Bay] Dried Bay Leaf - Laurus nobilis - Cut,[Sentia-Black Brew 3] Brew 3 that goes into making Sentia Black,,3.8094,0,G,,0.0095,0.0254,
[Black Cardamom] Dried Cardamom Pod - Amomum subulatum - Whole,[Sentia-Black Brew 3] Brew 3 that goes into making Sentia Black,,15.2426,0,G,,0.044,0.6594,
"[Cinnamon] Dried Organic Cinnamon Bark - Cinnamomum verum , J.Presl",[Sentia-Black Brew 3] Brew 3 that goes into making Sentia Black,,9.5361,0,G,,0.0172,0.1522,
[Gotu Kola] Dried Organic Leaf ( Aerial parts) - Centella asiatica,[Sentia-Black Brew 3] Brew 3 that goes into making Sentia Black,,9.5361,0,G,,0.0265,0.2536,
[Orange peel] Dried Organic Orange Peel - Citrus sinensis,[Sentia-Black Brew 3] Brew 3 that goes into making Sentia Black,,19.0519,0,G,,0.0104,0.2029,
[Schisandra] Dried Schisandra Fruit - Schisandra chinensis,[Sentia-Black Brew 3] Brew 3 that goes into making Sentia Black,,31.7532,0,G,,0.024,0.7609,
[Star Anise] Dried Organic Fruit Pod - illicium verum.,[Sentia-Black Brew 3] Brew 3 that goes into making Sentia Black,,17.7813,0,G,,0.0135,0.2283,
[Thyme] Dried Thyme Leaf - Thymus vulgaris,[Sentia-Black Brew 3] Brew 3 that goes into making Sentia Black,,10.16,0,G,,0.0152,0.1522,
[Ginkgo] Dried Ginkgo Leaf - Ginkgo biloba L.,[Sentia-Black Brew 3] Brew 3 that goes into making Sentia Black,,6.3557,0,G,,0.0147,0.1014,
[MagnoliaBarkCut] Magnolia officinalis Bark that has been milled to between 3-8mm.,[Sentia-Black Brew 3] Brew 3 that goes into making Sentia Black,,95.2901,0,G,,0.0076,0.7355,
[MagnoliaBarkCurls] Dried cut magnolia (Magnolia officinalis) bark curls between 1-5 cm.,[Sentia-Black Brew 3] Brew 3 that goes into making Sentia Black,[MagnoliaBarkCut] Magnolia officinalis Bark that has been milled to between 3-8mm.,95.2901,0,G,,0.0042,0,
[Rosemary] Dried Rosemary Leaf - Rosmarinus officinalis,[Sentia-Black Brew 3] Brew 3 that goes into making Sentia Black,,8.1057,0,G,,0.0104,0.0761,
[Sage] Dried Organic Sage Leaf - Salvia officinalis,[Sentia-Black Brew 3] Brew 3 that goes into making Sentia Black,,25.4279,0,G,,0.0147,0.3804,
[Citric Acid] Acid for pH control,[Sentia-Black Brew 3] Brew 3 that goes into making Sentia Black,,1.5902,0,G,,0.0026,0,
[Potassium Sorbate] Preservative controlling mold.,[Sentia-Black Brew 3] Brew 3 that goes into making Sentia Black,,1.5217,0,G,,0.0235,0.0254,
"[Arlington - 1000L] 1,000L The container the brews go into to transport them to the brewery.",[Sentia-Black Brew 3] Brew 3 that goes into making Sentia Black,,2.5362,0,PCS,,0,0,
[Water - for mixing - 40c] The water that is used to mix in the spray dried extracts,,,0.0336,0.0018,L,,0,0,
"[Ginseng Extract] Korean Ginseng Extract 10:1 20% Ginsenosides - Panax ginseng ,C. A. Meyer",,,1.5,0.0882,G,,0.0383,0.06,
"[Liquorice Spray Dried] Spray dried root extract, liquorice powder. Dissolves in warm water. Glycyrrhiza glabra.",,,1.2,0.0708,G,,0.06,0.06,
