Components,Parent-component,Intermediate-component,quantity,wastage,unit,,unit cost,total cost,
[Bottle Box 50cl Bottle x6 - Outer Box] The outer box needed for 50cl Bottles. 6 bottles per box.,,,0,PCS,,0.3121,0.31,,
[Bottle Box 50cl Bottle x6 - Unassembled dividers] The dividers for the 50cl box. 6 bottles per box.,,,0,PCS,,0.1779,0.18,,
[Sentia3001] 50cl bottle of Sentia Gold,,,0,PCS,,4.506,27.04,,
[Sentia-Gold Brew 1] Brew 1 that goes into making Sentia Gold,,,0.0504,L,,3.1316,3.66,,
[Water - for mash - 85c] The water that is added into the mashtun with the plants for overnight steeping,[Sentia-Gold Brew 1] Brew 1 that goes into making Sentia Gold,,0,L,,0,0,,
"[Ashwagandha] Dried root of Ashwagandha cut to 3-8mm - Withania somnifera , Dunal",[Sentia-Gold Brew 1] Brew 1 that goes into making Sentia Gold,,0,G,,0.0213,0.673,,
[Chamomile] Chamomile Flowers (European) - Matricaria Recutita,[Sentia-Gold Brew 1] Brew 1 that goes into making Sentia Gold,,0,G,,0.0296,0.4642,,
"[Damiana] Whole dried plant grown in Mexico -Turnera diffusa Willd, Schult. - Whole",[Sentia-Gold Brew 1] Brew 1 that goes into making Sentia Gold,,0,G,,0.0197,0.2437,,
[Ginkgo] Dried Ginkgo Leaf - Ginkgo biloba L.,[Sentia-Gold Brew 1] Brew 1 that goes into making Sentia Gold,,0,G,,0.0147,0.058,,
[Gotu Kola] Dried Organic Leaf ( Aerial parts) - Centella asiatica,[Sentia-Gold Brew 1] Brew 1 that goes into making Sentia Gold,,0,G,,0.0265,0.2553,,
[Lemon Balm] Lemon Balm Leaf - Melissa Officianalis,[Sentia-Gold Brew 1] Brew 1 that goes into making Sentia Gold,,0,G,,0.0169,0.1044,,
[Schisandra] Dried Schisandra Fruit - Schisandra chinensis,[Sentia-Gold Brew 1] Brew 1 that goes into making Sentia Gold,,0,G,,0.024,0.5686,,
[Water - for sparging - 75c] The water that is added to the mash during sparging,[Sentia-Gold Brew 1] Brew 1 that goes into making Sentia Gold,,0,L,,0,0,,
[Water - for mixing - 5-15c] The water that is used to mix in juices & extracts,[Sentia-Gold Brew 1] Brew 1 that goes into making Sentia Gold,,0,L,,0,0,,
"[Hops (Amarillo)] Dried Hop Strobiles, variety Amarillo - Humulus Lupulus",[Sentia-Gold Brew 1] Brew 1 that goes into making Sentia Gold,,0,G,,0.0284,0.4526,,
[Potassium Sorbate] Preservative controlling mold.,[Sentia-Gold Brew 1] Brew 1 that goes into making Sentia Gold,,0,G,,0.0235,0.0116,,
"[Arlington metal liner] 1,000L metal liner which we need to go into the Arlington for each brew.",[Sentia-Gold Brew 1] Brew 1 that goes into making Sentia Gold,,0,,,36.3869,42.227,,
[Water - for mixing - 40c] The water that is used to mix in the spray dried extracts,,,0.0204,L,,0,0,,
