Product List as of 15/07/2025,,,,,,
Product Code,Product Description,Product Group,Minimum Order Quantity,Lead Time (Days),Base Unit,
Bottle Box 50cl Bottle x6 - Unassembled dividers,The dividers for the 50cl box. 6 bottles per box.,Packaging,"4,000",10,PCS,
Bottle Box 50cl Bottle x6 - Outer Box,The outer box needed for 50cl Bottles. 6 bottles per box.,Packaging,"4,000",10,PCS,
Cap - 28mm GPI Copper,28mm Copper GPI glossy cap.,Packaging,"3,500",49,PCS,
Lemongrass Extract,Lemongrass essential  oil extract  - Cymbopogon citratus,Extract,"1,000",14,G,
Lavender Extract,Lavender Organic  essential Oil - Lavandula angustifolia,Extract,"1,000",14,G,
Grapefruit Extract,Grapefruit Essential oil extract - Citrus × paradisi OR Citrus paradisi Macfad.,Extract,"1,000",14,G,
Label - EU Sentia Gold 50cl - Front,EUGold50clFront-70mmx233mm,Packaging,"1,000",14,PCS,
Label - US Sentia Gold 50cl - Front,USGoldFront59mmx262mm,Packaging,"1,000",14,PCS,
Label - Sentia Gold 50cl - Seal,UKGold50clSeal-22mmx78mm,Packaging,"1,000",14,PCS,
Label - EU Sentia Red 50cl - Front,EURed50clFront-59mmx262mm,Packaging,"1,000",14,PCS,
Label - EU Sentia Black 50cl - Front,EUBlack50clFront-59mmx262mm,Packaging,"1,000",14,PCS,
Label - US Sentia Black 50cl - Front,USBlackFront59mmx262mm,Packaging,"1,000",14,PCS,
Label - US Sentia Red 50cl - Front,USRedFront59mmx262mm,Packaging,"1,000",14,PCS,
Label - Sentia Black 50cl - Seal,UKBlack50clSeal-22mmx78mm,Packaging,"1,000",14,PCS,
Label - Sentia Red 50cl - Front,UKRed50clFront-70mmx233mm,Packaging,"1,000",14,PCS,
Label - Sentia Red 20cl - Front,UKRed20clFront-37.23mmx191mm,Packaging,"1,000",14,PCS,
Glass bottle - 500ml GPI,50cl glass bottle with 28mm GPI opening for bottling of spirits.,Packaging,880,30,PCS,
Bergamot Extract,"Bergamot Essential Oil - Citrus bergamia, Citrus aurantium subsp.",Extract,500,14,G,
Label - Sentia Gold 50cl - Front,UKGold50clFront-70mmx233mm,Packaging,1000,14,PCS,
Vitamin B6 Powder,Vitamin B6. Purity 100%. Extract Ratio 1:1. Pyridoxine HCL,Vitamin,500,5,G,
Label - Sentia Black 50cl - Front,UKBlack50clFront-59mmx262mm,Packaging,500,14,PCS,
