Shop,Region,Product,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,
Shopify UK,UK,Sentia Red 50cl,1293,1313,1194,1216,3126,2043,1974,2479,1857,1837,2161,1934,2397,1558,
Shopify UK,UK,Sentia Black 50cl,877,859,862,803,885,1238,1341,1478,1098,1078,1232,1143,1304,869,
Shopify UK,UK,Sentia Gold 50cl,0,0,0,0,1272,1607,1834,1774,1552,1381,1202,1816,1938,1284,
Shopify UK,UK,Total,2170,2172,2056,2019,5283,4888,5149,5731,4507,4296,4595,4893,5639,3711,
Amazon UK,UK,Sentia Red 50cl,760,762,611,686,411,549,1197,1619,1397,929,1000,912,584,812,
Amazon UK,UK,Sentia Black 50cl,8,176,215,280,300,264,727,678,511,365,346,362,563,296,
Amazon UK,UK,Sentia Gold 50cl,0,0,0,0,84,390,610,801,1119,700,816,781,554,645,
Amazon UK,UK,Total,768,938,826,966,795,1203,2534,3098,3027,1994,2162,2055,1701,1753,
Shopify EU,EU,Sentia Red 50cl,0,12,42,225,327,387,642,1437,1019,610,463,562, 944 , 425 ,
Shopify EU,EU,Sentia Black 50cl,0,4,32,181,246,310,554,1125,810,487,390,349, 681 , 287 ,
Shopify EU,EU,Sentia Gold 50cl,0,0,0,0,169,340,685,1289,936,629,492,480, 934 , 437 ,
Shopify EU,EU,Total,0,16,74,406,742,1037,1881,3851,2765,1726,1345,1391,2559,1149,
Shopify US,US,Sentia Red 50cl,189,160,149,117,133,1738,1592,1425,443,327,397,310,914,360,
Shopify US,US,Sentia Black 50cl,132,133,113,103,84,1345,1091,1113,351,223,275,217,663,419,
Shopify US,US,Sentia Gold 50cl,0,0,0,0,0,2606,931,1173,442,367,404,358,892,269,
Shopify US,US,Total,321,293,262,220,217,5689,3614,3711,1236,917,1076,885,2469,1048,
Amazon US,US,Sentia Red 50cl,367,316,303,171,155,1072,927,1564,756,551,389,501,1620,719,
Amazon US,US,Sentia Black 50cl,212,173,168,146,148,882,619,341,474,384,326,277,1132,409,
Amazon US,US,Sentia Gold 50cl,0,0,0,0,0,1,98,1671,661,314,377,342,895,594,
Amazon US,US,Total,579,489,471,317,303,1955,1644,3576,1891,1249,1092,1120,3647,1722,
