Components,Parent-component,Intermediate-component,quantity,wastage,unit,,unit cost,total cost,
[Bottle Box 50cl Bottle x6 - Outer Box] The outer box needed for 50cl Bottles. 6 bottles per box.,,,1,0,PCS,,0.3121,0.31,Delete
[Bottle Box 50cl Bottle x6 - Unassembled dividers] The dividers for the 50cl box. 6 bottles per box.,,,1,0,PCS,,0.1779,0.18,Delete
[Sentia1001] 50cl bottle of Sentia Red,,,6,0,PCS,,4.9122,29.47,Delete
[Sentia-Red Brew 3] Brew 3 that goes into making Sentia Red (without linden),[Sentia-Red Brew 3] Brew 3 that goes into making Sentia Red (without linden),,1.8294,0.0816,L,,2.505,4.8,
[Water - for mash - 85c] The water that is added into the mashtun with the plants for overnight steeping,[Sentia-Red Brew 3] Brew 3 that goes into making Sentia Red (without linden),,1.6244,0,L,,0,0,
"[Ashwagandha] Dried root of Ashwagandha cut to 3-8mm - Withania somnifera , Dunal",[Sentia-Red Brew 3] Brew 3 that goes into making Sentia Red (without linden),,31.3404,0,G,,0.0213,0.6689,
"[Damiana] Whole dried plant grown in Mexico -Turnera diffusa Willd, Schult. - Whole",[Sentia-Red Brew 3] Brew 3 that goes into making Sentia Red (without linden),,3.134,0,G,,0.0197,0.0573,
[Passion Flower] Dried plant. Comes cut. Passiflora incarnata,[Sentia-Red Brew 3] Brew 3 that goes into making Sentia Red (without linden),,47.0106,0,G,,0.0178,0.8408,
[Rose Petal] Dried buds/flowers - Rosa damascena.,[Sentia-Red Brew 3] Brew 3 that goes into making Sentia Red (without linden),,9.4021,0,G,,0.0354,0.3249,
[Tulsi Vana] Dried leaves of Tulsi Vana - Ocimum gratissimum.,[Sentia-Red Brew 3] Brew 3 that goes into making Sentia Red (without linden),,6.2681,0,G,,0.0105,0.0573,
[Water - for sparging - 75c] The water that is added to the mash during sparging,[Sentia-Red Brew 3] Brew 3 that goes into making Sentia Red (without linden),,0.86,0,L,,0,0,
[Citric Acid] Acid for pH control,[Sentia-Red Brew 3] Brew 3 that goes into making Sentia Red (without linden),,2.2932,0,G,,0.0026,0,
[Malic Acid] Acid for pH control,[Sentia-Red Brew 3] Brew 3 that goes into making Sentia Red (without linden),,0.5572,0,G,,0.0071,0,
[Potassium Sorbate] Preservative controlling mold.,[Sentia-Red Brew 3] Brew 3 that goes into making Sentia Red (without linden),,1.1466,0,G,,0.0235,0.0191,
"[Arlington metal liner] 1,000L metal liner which we need to go into the Arlington for each brew.",[Sentia-Red Brew 3] Brew 3 that goes into making Sentia Red (without linden),,1.911,0,,,36.3869,69.5413,
"[Arlington - 1000L] 1,000L The container the brews go into to transport them to the brewery.",[Sentia-Red Brew 3] Brew 3 that goes into making Sentia Red (without linden),,1.911,0,PCS,,0,0,
[MagnoliaBarkCut] Magnolia officinalis Bark that has been milled to between 3-8mm.,[Sentia-Red Brew 3] Brew 3 that goes into making Sentia Red (without linden),,93.9448,0,G,,0.0076,0.7262,
[MagnoliaBarkCurls] Dried cut magnolia (Magnolia officinalis) bark curls between 1-5 cm.,[Sentia-Red Brew 3] Brew 3 that goes into making Sentia Red (without linden),[MagnoliaBarkCurls] Dried cut magnolia (Magnolia officinalis) bark curls between 1-5 cm.,93.9448,0,G,,0.0042,0,
"[Linden Infusion] An infusion of Linden (lime flower) blossom and leaves Tilia spp, cold extracted and pressed.",[Sentia-Red Brew 3] Brew 3 that goes into making Sentia Red (without linden),,0.432,0.0192,KG,,5.8356,2.64,
[Linden] Cut linden/Lime Flower Blossom and leaves - Tilia spp.,[Sentia-Red Brew 3] Brew 3 that goes into making Sentia Red (without linden),,45.12,0,G,,0.0249,1.1235,
[Potassium Sorbate] Preservative controlling mold.,[Sentia-Red Brew 3] Brew 3 that goes into making Sentia Red (without linden),,0.2707,0,G,,0.0235,0.0045,
[Water - for mixing - 40c] The water that is used to mix in the spray dried extracts,,,0.069,0.003,L,,0,0,
[Chinese Herb Tea - D1B1] A blend of spray dried extracts that can be dissolved in water.,,,4.2,0.1878,G,,0.0414,0.18,
"[Liquorice Spray Dried] Spray dried root extract, liquorice powder. Dissolves in warm water. Glycyrrhiza glabra.",,,2.7,0.1206,G,,0.06,0.18,
