Product List as of 20/08/2025,,,,,,
Product Code,Product Description,Product Group,Base Pack,Allocated,On Hand,Base Unit
Agave Syrup,Agave L - Agave Tequilana / Pina/Leaf / Syrup,Sweetener,,653620.5504,590018.9398,G
Air Shock - 50cl - 120um,Wine bottle bag 120um,Packaging,,0.0000,0.0000,PCS
Air Shock - 50cl - 150 um,Wine bottle bag 150um,Packaging,,0.0000,62.0000,PCS
Air Shock Shipping Box - 1 x 50cl,Cardboard box that fits one Air Shock,Packaging,,0.0000,1003.0000,PCS
Air Shock Shipping Box - 2 x 50cl,Cardboard box that fits 2 Air Shocks,Packaging,,0.0000,0.0000,PCS
Air Shock Shipping Case - 8 x 50cl,Cardboard box that fits 8 Air Shocks boxes,Packaging,,0.0000,555.0000,PCS
Alcohol Sensation Flavour,Natural Flavouring Alcohol Sensation,Extract,,0.0000,561.0000,G
Aloe Vera Juice,Aloe Vera Juice,Juice,,0.0000,0.0000,G
Angelica Root,Dried Organic Root / Angelica archangelica L. / Cut,Dried plant,,2088.3360,2775.0460,G
Arlington - 1000L,"1,000L The container the brews go into to transport them to the brewery.",Packaging,,11922.0000,1.0000,PCS
Arlington - 250L,250L container the brews go into to transport them to the brewery.,Packaging,,0.0000,0.0000,
Arlington metal liner,"1,000L metal liner which we need to go into the Arlington for each brew.",Packaging,,11922.0000,10.0000,
Aronia Concentrate,Black Chokeberry - Aronia melanocarpa - Liquid concentrate,Juice,,315231.3864,75000.0000,G
Ascorbic Acid,Ascorbic Acid (Vitamin C) crystalline powder for colour stability,Acid,,2137.4976,8745.7456,G
Ashwagandha,"Dried root of Ashwagandha cut to 3-8mm - Withania somnifera , Dunal",Dried plant,,209235.0200,523600.0000,G
Bay,Dried Bay Leaf - Laurus nobilis - Cut,Dried plant,,5010.6720,22500.0000,G
Bergamot Extract,"Bergamot Essential Oil - Citrus bergamia, Citrus aurantium subsp.",Extract,,0.0000,829.2732,G
Black Cardamom,Dried Cardamom Pod - Amomum subulatum - Whole,Dried plant,,20049.3600,0.0000,G
Black pepper Oleoresin,Extract of black pepper - Piper nigrum - Oleoresin,Extract,,0.0000,0.0000,G
Blackberry Concentrate,Aseptic Blackberry juice concentrate - Rubus fruticosus - Liquid concentrate,Juice,,288734.4432,150000.0000,G
Bottle Box 20cl Bottle x12 - Outer Box,The outer box needed for 20cl Bottles. 12 bottles per box.,Packaging,,0.0000,807.0000,PCS
Bottle Box 20cl Bottle x12 - unassembled dividers,The dividers needed for 20cl Bottles. 12 bottles per box.,Packaging,,0.0000,830.0000,PCS
Bottle Box 50cl Bottle x6 - Outer Box,The outer box needed for 50cl Bottles. 6 bottles per box.,Packaging,,6876.0000,3531.1821,PCS
Bottle Box 50cl Bottle x6 - Unassembled dividers,The dividers for the 50cl box. 6 bottles per box.,Packaging,,6876.0000,1631.0000,PCS
Can Box x6 - Outer Box,The outer box needed for 440cl cans. 6 cans per box.,Packaging,,0.0000,5038.0000,PCS
Cans Box 440cl x6 - Unassembled dividers,The dividers for the 440cl box. 6 cans per box.,Packaging,,0.0000,5100.0000,PACK
Cap - 28mm GPI Copper,28mm Copper GPI glossy cap.,Packaging,,64514.2560,30212.0000,PCS
Cap -33mm GPI Black,33mm Black GPI glossy cap,Packaging,,0.0000,1000.0000,PCS
Case Label - Gift Boxed Red 50cl,The label that goes on the outer box of the gift boxed Sentia Red 50cl x 6,Packaging,,0.0000,0.0000,PCS
Case Label - Sentia Red 50cl x 6,The label that goes on the outer box of Sentia Red 50cl x 6,Packaging,,0.0000,0.0000,PCS
Chamomile,Chamomile Flowers (European) - Matricaria Recutita,Dried plant,,51745.8120,127862.0470,G
Chinese Herb Tea - D1B1,A blend of spray dried extracts that can be dissolved in water.,Extract,,23614.5432,0.0724,G
Cinnamon,"Dried Organic Cinnamon Bark - Cinnamomum verum , J.Presl",Dried plant,,12543.3600,29700.0000,G
Citric Acid,Acid for pH control,Acid,,13393.8576,28000.0008,G
Cocao Extract,Natural oil  extract from Indonesian cocoa beans - Theobroma cacao,Extract,,0.0000,7754.5000,G
Coconut Nectar,Organic Coconut Nectar,Sweetener,,0.0000,0.0000,G
Cranberry Red L-WS,"Natural red 
colourant derived from black carrot",Colourant,,116896.8528,68263.8512,G
Credit,Product to use to attach to POs to apply credit,,,0.0000,0.0000,G
Damiana,"Whole dried plant grown in Mexico -Turnera diffusa Willd,  Schult. - Whole",Dried plant,,51969.8480,78400.0000,G
DDW Caramel 520,"DDW CARAMEL 520 [25KG].
CommodityCode: 1702907900",Colourant,,124113.6640,118400.0000,G
Eleuthero,Eleuthero Root  -Eleutherococcus senticosus,Dried plant,,0.0000,1863.6280,G
Eleuthero Extract,Eleuthero (Ci Wu Jia) Extract,Extract,,5912.0880,43156.2736,G
Flexi-Hex Single Box,Flexi-Hex Single Box - Fold Top,Packaging,,0.0000,180.0000,
Flexi-Hex Sleeve,330mm Flexi-Hex Sleeve,Packaging,,0.0000,2429.0000,PCS
Gabyr Extract,An additive for beer,Brew,,0.0000,0.0000,L
Gabyr Extract Filtered,Microfiltered and aseptically packed Gabyr Brew,Extract,,0.0000,1180000.0000,G
Gabyr Pale Ale Tray of 24,Pale Ale with Botanical Extracts on a cardboard tray of 24,Beer,,0.0000,0.0000,PCS
Gabyr Stout Tray of 24,Stout with Botanical Extracts on a cardboard tray of 24,Beer,,0.0000,0.0000,PCS
Gentian Extract,Extract of Gentian root  - Gentiana lutea L.,Extract,,7785.5400,11435.8300,G
Gift Box - Sentia Red 50cl,Gift Box - Sentia Red 50cl,Packaging,,0.0000,100.0000,PCS
Ginger Extract,Nigerian Ginger root oil extract - Zingiber officinale Roscoe,Extract,,0.0000,0.0000,G
Ginkgo,Dried Ginkgo Leaf -  Ginkgo biloba L.,Dried plant,,20780.0760,56400.0900,G
Ginseng Extract,"Korean Ginseng Extract 10:1 20% Ginsenosides -  Panax ginseng ,C. A. Meyer",Extract,,5215.1328,33070.0712,G
Glass bottle - 200ml GPI,20cl Glass bottle 28mm GPI opening for bottling of spirits.,Packaging,,0.0000,1864.0000,PCS
Glass bottle - 500ml GPI,50cl glass bottle with 28mm GPI opening for bottling of spirits.,Packaging,,38714.2560,3520.0000,PCS
Glass bottle 700ml GPI,70cl glass bottle with 33mm GPI opening for bottling of spirits.,Packaging,,0.0000,656.0000,PCS
Glycerine,Vegetable glycerine 99.9% pure,Processing agent,,433054665.2472,0.0000,G
Gold Extract Blend,The blend of extracts in Sentia Gold,Extract,,6982.3104,4165.4024,G
Gotu Kola,Dried Organic Leaf ( Aerial parts)  - Centella asiatica,Dried plant,,43591.6080,87603.9088,G
Grapefruit Extract,Grapefruit Essential oil extract - Citrus × paradisi OR Citrus paradisi Macfad.,Extract,,0.0000,1799.7306,G
Green Chili Oleoresin,Extract of green chili - Capsicum annum,Extract,,0.0000,0.0000,G
Gum Arabic Powder,Gum Arabic Powder ( Acacia),Processing agent,,27930.6048,19874.8588,G
Habanero Flavour,Water Soluble Habanero Pepper Flavouring,Extract,,0.0000,1700.0000,G
Hawthorn extract,Crataegi Fructus\Shan Zha,,,0.0000,89000.0000,G
Hops (Amarillo),"Dried Hop Strobiles, variety Amarillo - Humulus Lupulus",Dried plant,,51802.8720,28400.0000,G
Kraft Paper Fanfold - 22lb,"15"" x 1275 Fanfold Kraft Paper - 22lb",Packaging,,0.0000,0.0000,BOX
Label - EU Sentia Black 50cl - Front,EUBlack50clFront-59mmx262mm,Packaging,,0.0000,325.0000,
Label - EU Sentia Gold 50cl - Front,EUGold50clFront-70mmx233mm,Packaging,,0.0000,760.0000,
Label - EU Sentia Red 50cl - Front,EURed50clFront-59mmx262mm,Packaging,,0.0000,1200.0000,
Label - NL Sentia Black 50cl - Front,NLBlack50clFront-59mmx262mm,Packaging,,0.0000,4000.0000,
Label - NL Sentia Gold 50cl - Front,NLGold50clFront-59mmx262mm,Packaging,,0.0000,0.0000,
Label - NL Sentia Red 50cl - Front,NLRed50clFront-59mmx262mm,Packaging,,0.0000,2000.0000,
Label - Sentia Black 20cl - Front,UKBlack20clFront-37.23mmx191mm,Packaging,,0.0000,2358.0000,PCS
Label - Sentia Black 20cl - Seal,UKBlack20clSeal-22mmx65mm,Packaging,,0.0000,2958.0000,PCS
Label - Sentia Black 50cl - Front,UKBlack50clFront-59mmx262mm,Packaging,,6279.3120,2836.7924,PCS
Label - Sentia Black 50cl - Seal,UKBlack50clSeal-22mmx78mm,Packaging,,0.0000,0.0000,PCS
Label - Sentia Gold 50cl - Front,UKGold50clFront-70mmx233mm,Packaging,,4159.8720,2308.1232,PCS
Label - Sentia Gold 50cl - Seal,UKGold50clSeal-22mmx78mm,Packaging,,0.0000,0.0000,PCS
Label - Sentia Red 20cl - Front,UKRed20clFront-37.23mmx191mm,Packaging,,0.0000,2104.0000,PCS
Label - Sentia Red 20cl - Seal,UKRed20clSeal-22mmx65mm,Packaging,,0.0000,2679.0000,PCS
Label - Sentia Red 50cl - Front,UKRed50clFront-70mmx233mm,Packaging,,8681.4720,1183.7600,PCS
Label - Sentia Red 50cl - Seal,UKRed50clSeal-22mmx78mm,Packaging,,0.0000,0.0000,PCS
Label - US Sentia Black 50cl - Front,USBlackFront59mmx262mm,Packaging,,0.0000,1810.4572,PCS
Label - US Sentia Black 50cl - Seal,USBlackSeal22mmx78mm,Packaging,,6279.3120,2522.2496,PCS
Label - US Sentia Gold 50cl - Front,USGoldFront59mmx262mm,Packaging,,9537.5616,1919.9104,PCS
Label - US Sentia Gold 50cl - Seal,USGoldSeal22mmx78mm,Packaging,,13697.4336,4205.0336,PCS
Label - US Sentia Red 50cl - Front,USRedFront59mmx262mm,Packaging,,10056.0384,3019.9616,PCS
Label - US Sentia Red 50cl - Seal,USRedSeal22mmx78mm,Packaging,,18737.5104,3422.7216,PCS
Lavender Extract,Lavender Organic  essential Oil - Lavandula angustifolia,Extract,,0.0000,329.2732,G
Lemon Balm,Lemon Balm Leaf - Melissa Officianalis,Dried plant,,20697.5640,52700.0000,G
Lemongrass Extract,Lemongrass essential  oil extract  - Cymbopogon citratus,Extract,,0.0000,299.4971,G
Linden,Cut linden/Lime Flower Blossom and leaves - Tilia spp.,Dried plant,,0.0000,36000.0000,G
Linden Infusion,"An infusion of Linden (lime flower) blossom and leaves Tilia spp, cold extracted and pressed.",Juice,,2162.3296,21920.1112,KG
Liquorice Spray Dried,"Spray dried root extract, liquorice powder. Dissolves in warm water. Glycyrrhiza glabra.",Extract,,11227.6920,20000.0002,G
MagnoliaBarkCurls,Dried cut magnolia  (Magnolia officinalis) bark curls between 1-5 cm.,Dried plant,,0.0000,0.0000,G
MagnoliaBarkCut,Magnolia officinalis Bark that has been milled to between 3-8mm.,Dried plant,,442323.8720,298000.0000,G
MagnoliaBarkPowder,Magnolia officinalis Bark powder that was left from the milling of the curls,Dried plant,,0.0000,0.0000,G
Malic Acid,Acid for pH control,Acid,,1880.2368,5000.0000,G
Maple Syrup,100% Pure Dark Robust - Acer Saccharum,Sweetener,,336666.2080,383500.0002,G
Maracuja Yellow L-WS,Yellow Paprika oil extract,Colourant,,42759.4944,61107.9064,G
Molasses,Cane Molasses - Saccharum officinarum,Sweetener,,91075.3600,39213.8756,G
Multicreased box,Box used to fulfil ShipBob orders,Packaging,,0.0000,2738.0000,PCS
Natural flavouring-smoked taste,natural flavouring-smoked taste,Extract,,0.0000,4557.0000,G
Nutmeg extract,Nutmeg seed extract -  Myristica fragrans Houtt,Extract,,0.0000,3714.4875,G
Oak Chips,Medium Toasted American Oak Chips,Dried plant,,0.0000,50000.0000,G
Omega Black Blend,A blend of extracts supplied by Omega for Black,Extract,,5154.2400,5256.4426,G
Orange extract,"Sensient Orange TLESS BRZ EXT SNO - 1007050, peel oil extract , Citrus sinensis",Extract,,0.0000,2658.5462,G
Orange peel,Dried Organic Orange Peel - Citrus sinensis,Dried plant,,25060.0320,39299.9996,G
Passion Flower,Dried plant. Comes cut. Passiflora incarnata,Dried plant,,158620.8000,277248.4000,G
Pectin,Pectin powder,Processing agent,,0.0000,0.0000,G
Pink Pepper Extract,Sensient Pink pepper EXT SNO - 1008715. Schinus molle.,Extract,,0.0000,838.2637,G
Plastic Tamper Seal,"PLAIN PET PREFORM 54MM FW X 0.50 X 
35MM CL+V.P",Packaging,,38714.2560,54957.8380,PCS
Plastic Tamper Seal 700ml,PLAIN PET PREFORM WITH VERTICAL PERFORATIONS:  66MM FW X 40MM CL,Packaging,,0.0000,1214.0000,PCS
Potassium Sorbate,Preservative controlling mold.,Preservative,,12676.2192,31709.9008,G
Pulp Shipping Box - 1 x 50cl,Cardboard box that fits 1 pulp insert.,Packaging,,0.0000,28.0000,PCS
Pulp Shipping Box - 2 x 50cl,Cardboard box that fits 2 pulp inserts.,Packaging,,0.0000,398.0000,PCS
Pulp Shipping Box - 3 x 50cl,Cardboard box that fits 3 pulp inserts.,Packaging,,0.0000,0.0000,PCS
Pulp Shipping Box Insert - 50cl,1 single bottle pulp shell,Packaging,,0.0000,0.0000,PCS
Quince Concentrate,Quince Juice Concentrate - Cydonia oblonga/Cydonia vulgaris. Ekmek Ayvasi/Esme,Juice,,456099.4560,300000.0400,G
Rhodiola rosea,Rhodiola rosea extract 3% total rosavins,Extract,,0.0000,0.0000,G
Rose Petal,Dried buds/flowers - Rosa damascena.,Dried plant,,31724.1600,23569.6800,G
Rosemary,Dried Rosemary Leaf - Rosmarinus officinalis,Dried plant,,10661.8560,22000.0000,G
Sage,Dried Organic Sage Leaf - Salvia officinalis,Dried plant,,33446.7360,60000.0000,G
Schisandra,Dried Schisandra Fruit - Schisandra chinensis,Dried plant,,119383.5360,226800.2244,G
Sensient Black Blend,A blend of extracts used in Sentia Black.,Extract,,1261.7280,770.0000,G
Sentia Red - Vitamin Powder blend,A blend of vitamins that go into Sentia Red,Vitamin,,0.0000,0.0000,G
Sentia1001,50cl bottle of Sentia Red,Spirit,1,8640.0000,6220.0000,PCS
Sentia1001-6,A box of 6x50cl Sentia Red,Spirit,1,0.0000,408.0000,PCS
Sentia1001-6-S,A box of 6x50cl Sentia Red only to be used for sampling,Spirit,1,0.0000,0.0000,PCS
Sentia1001-S,A 50cl sample bottle of Sentia Red,Spirit,1,0.0000,0.0000,PCS
Sentia1002,20cl bottle of Sentia Red,Spirit,1,0.0000,984.0000,PCS
Sentia1002-12,A box of 12x20cl Sentia Red,Spirit,1,0.0000,0.0000,PCS
Sentia1011,Gift Boxed 50cl Sentia Red,Spirit,1,0.0000,0.0000,PCS
Sentia1011-6,A box of 6x50cl Gift Boxed Sentia Red,Spirit,1,0.0000,0.0000,PCS
